station_name,state,lat,lon,primary_fuel,grid,reporting_year,production_mwh,emissions_tco2e,intensity_tco2e_mwh
Hinze Dam Hydro,QLD,-28.0502971,153.2801969,Unknown,,,,,
Carnarvon Solar Farm,WA,-24.883847,113.6570703,Unknown,,,,,
Mt Millar Wind Farm,SA,-34.8839063,138.6639096,Unknown,,,,,
Wyangala B Hydro,NSW,-33.9485,148.9346,Unknown,,,,,
Grange Avenue Power Station,NSW,-33.7029727,150.8417576,Unknown,,,,,
Woolnorth Studland Bay,TAS,-40.7469363,144.7495328,Unknown,,,,,
Rocky Point Sugar Mill,QLD,-27.7340494,153.3271062,Unknown,,,,,
Hallett Wind Farm SA,SA,-33.4118964,138.8936983,Unknown,,,,,
Lake Bonney Wind Farm Stage 2,SA,-37.7389792,140.3868101,Unknown,,,,,
Snowtown Wind Farm - SA,SA,-33.7829422,138.2147186,Unknown,,,,,
Kalbarri Wind Farm - WA,WA,-27.7113895,114.1647412,Unknown,,,,,
Waubra Wind Farm - VIC,VIC,-37.337312,143.631375,Unknown,,,,,
Hallett 2 Wind Farm - SA,SA,-33.4118964,138.8936983,Unknown,,,,,
Capital Wind Farm - NSW,NSW,-35.5295295,148.7722443,Unknown,,,,,
Clements Gap Wind Farm - SA,SA,-33.5084391,138.0644427,Unknown,,,,,
Bogong Hydro - VIC,VIC,-36.796961,147.2215416,Unknown,,,,,
Jounama Hydro - NSW,NSW,-35.5631957,148.4653053,Unknown,,,,,
Cape Bridgewater Wind Farm - VIC,VIC,-38.3297785,141.4342485,Unknown,,,,,
Cape Nelson South Wind Farm - VIC,VIC,-38.430931,141.5428977,Unknown,,,,,
Waterloo Wind Farm - SA,SA,-34.7410697,138.60599,Unknown,,,,,
Nieterana Mini Hydro - TAS,TAS,-42.2686746,146.2628735,Unknown,,,,,
Gunning Wind Farm - NSW,NSW,-34.722127,149.181707,Unknown,,,,,
Collgar Wind Farm - WA,WA,-31.5524262,118.3528844,Unknown,,,,,
